image_number,nuclei_object_number,center_x,center_y,major_axis_length,minor_axis_length,orientation
3,28,77.43165383319796,875.8269878715562,9.500303865990693,13.13620338118938,-10.842907188610301
4,2,533.5854759566388,129.0654907083064,12.62720581363375,37.59894498123508,-310.4308461283569
4,3,619.3907683417018,140.16316753412715,49.56301711863232,68.77904544514688,-307.0603527920772
4,7,583.0034305095312,206.9667864483253,12.603226198506073,29.911540155369536,-302.6918926612507
4,10,679.6669233331185,288.434879682181,12.93872047566903,30.486431034876862,-302.2926868611311
4,11,,,,,
4,12,886.034928061559,289.4475158867192,7.205497259337446,21.08552827801,-290.304120740611
4,13,729.6831366878635,305.3346253566775,15.379087051292247,30.516360173925005,-31.606220951603326
4,18,1066.1396739714642,436.14027311302766,10.677439244343866,22.105577459755057,44.26335279716225
4,20,224.815849750124,503.1856154196058,2.9730667277593597,13.985626935047533,31.959612009975107
4,21,228.86616783800497,609.3123115411875,20.310882929358765,46.08700472769993,-71.01015406598233
4,24,,,,,
4,25,712.7753000053267,781.9287340366027,15.981622721816436,17.802908931385943,-39.592729913860104
4,26,563.3092922992073,809.8109827825889,16.211200292274945,20.753119259070743,-300.93989650225564
4,28,339.5722485867018,833.9586757737,13.191934590967772,26.01700758432211,41.072796280016334
4,29,609.9092026218293,877.1927347734595,15.97796658719929,24.437416668579502,-312.9688975160345
4,30,540.6487299183045,879.4719660342807,12.82511449845268,14.384233237327226,-1.595436010717595
5,2,374.87649153238516,180.04953362914392,40.86943945538741,55.73187137685816,-31.305197065820398
5,5,194.24647434101644,596.8811886721528,47.69565319792615,62.477668820255005,21.001879183888697
5,9,368.7432362907191,863.56095126524,23.163669441417703,81.35701515263607,-18.744038608328296
6,1,,,,,
6,2,119.97937394679472,379.2660040297918,19.525945390716682,40.6276302226134,-3.019601481471004
6,4,459.70987151974197,654.7078040064882,27.248900591071244,45.609411454074994,25.384167689198566
6,5,435.543785382838,956.0875994273545,17.43620203733044,25.030513184736737,6.429230058841845
7,1,583.3785278975105,84.62836370324848,20.547207130615895,29.60504576145634,12.857742945531347
7,2,693.8291536961376,68.73240974289371,36.44048646050158,48.38695515661405,-63.3104864497863
7,3,77.39234899226891,121.09737085873746,18.831516018163526,44.95720256653509,21.981859980590723
7,4,109.93009310537357,223.86056680186448,26.490608888839112,44.37876384028496,-17.33032856434947
8,1,500.6752248365316,90.68731408072571,37.38795865192986,45.02499500634785,-283.59329492890674
8,2,683.9925512714071,113.11192272249133,36.720093325048495,76.56730856324114,-291.5732183101163
8,3,794.1479148249036,114.82318572640973,10.77160882709068,13.932164278804292,-46.34586352624827
8,4,285.8552701051633,134.57528707291547,16.190267820947266,37.68349427921897,-38.00695369877121
8,5,283.4562294421486,187.2003068567684,25.38348753962966,52.58726078680618,-296.1686064219499
8,8,989.3682671894946,312.17097133120217,15.115519624916914,18.789795937551382,-299.0100554577042
8,9,267.2516326896026,350.04071757062985,5.931547009479184,18.40785764906811,-0.31511133314541123
8,10,527.2903459420953,283.18024022264046,27.042745296523524,44.01036635246818,4.074568350078193
8,11,1198.0852479466123,380.9987211773581,2.4545099550232528,19.754863284588044,-44.85696746870909
8,12,98.10660906779195,441.33431346036656,11.80632638192513,15.027082242484346,-29.683131186989602
8,13,791.2464740339385,465.0099327028051,29.95761650207719,69.39860994066106,-61.77826790359402
8,14,415.4617210619911,470.69958697832317,15.190437064934939,52.75100288925637,-50.664211861783656
8,16,1021.5967597779494,542.3536823968443,24.34990664855557,61.55544985032125,-300.1718821472677
8,17,660.8995218896348,621.5641729350308,19.492579256367694,33.39076914491229,-17.771955076794363
8,18,321.91202712439474,638.7022298495006,63.333503205034134,68.51778171363978,-13.591632778801284
8,21,250.8800631817059,687.4126041770993,22.725226642799836,48.62500756055781,-285.0015754531746
8,22,639.5801403032323,687.4141593886113,13.231240254264613,55.807802179118276,-48.77907013495526
8,24,1198.4288256445006,723.8046680837456,8.985264563089133,13.79688154408616,32.69928884245151
8,26,176.58954102188352,735.6685919550712,44.041036077530954,70.45393529602643,21.321562479068938
8,27,567.2072032393007,790.8146571058936,36.35673885855875,52.42208147762956,-73.86782283732853
8,29,811.9027599189401,805.6961894292219,40.358919804784406,51.6232941258545,-273.59509432883317
8,30,438.2636116996298,824.3228369513179,29.674616918653708,87.41332205720957,-295.4557060532677
9,1,75.24639169316433,61.99916156031559,10.077549024672999,16.53975873048334,-72.72297972324301
9,6,39.38279118170743,162.35894645395166,19.860955870816255,35.631217344004725,-288.15521178545896
9,7,363.3667006604455,206.67656780041062,23.74017129420075,38.2797842399794,3.7278740377158672
9,8,498.0839992291403,241.2305863860533,37.99158889129443,85.87965793872641,-87.04451586211913
9,9,119.12164869194257,250.4274644206097,14.862673044661769,18.003746520176946,-45.56448582173333
9,11,220.12062348041252,264.66907267723457,10.847873015574018,13.178060588346595,-77.30381859031021
9,12,586.1972144565568,278.1492674769661,9.66705645834588,15.25212362390717,-41.61856563270867
9,13,541.475335317151,331.2589777338694,17.077397280617262,32.56170767402405,-0.23609938728816804
9,15,350.0727374185743,400.1092363856497,13.490311111749369,20.79221087987032,-57.62646308865182
9,16,442.9796730141003,368.9666963257109,41.33629983460893,73.71441315182388,-297.1803483051239
