image_number,nuclei_object_number,center_x,center_y,major_axis_length,minor_axis_length,orientation
2,13,341.064273226773,236.7796956515704,34.41956929469061,12.752390249540467,-10.008305121687144
2,14,528.4207323456824,267.944398191331,36.16336570281143,23.019745339107672,-51.8897636828434
2,17,779.1296445180238,283.19741963993414,31.390854717515232,23.403337620630328,-64.56002503518272
2,18,424.46031660747957,283.20071297234387,21.279755444427987,15.076021058895494,-22.242319499923283
2,19,609.0636572809211,316.42685558185593,40.09635439518052,18.25242847946348,61.229764260674216
2,21,279.5988306506388,313.87260615811925,43.94172482371081,27.93544724288161,-39.49856127686813
2,22,730.4909511240389,346.5203431372546,21.466590477755307,19.0400545353029,-63.15586730369263
2,24,457.0372599041706,376.1849966238571,56.13462521081836,21.52129542519354,-50.97574606793859
2,25,394.9611508967153,369.31673615837764,38.48935315186913,26.553329550715848,-46.61202554095494
2,26,96.88724510138981,375.23015493278615,19.85026517090033,11.809223392423197,63.54329843909623
2,27,636.9000621697048,405.8417852899994,17.601513282488668,17.222948657335195,-9.593182517276972
2,28,289.147299748862,397.4600210553333,27.87380915139278,18.456193594293282,-65.08092250488394
2,30,342.8333844971978,444.99828590875074,44.54853630365117,20.18753805752231,48.7538560787485
2,31,241.3807165748167,468.85087777523916,76.82077412849961,30.684932722284657,31.840066596149953
2,32,417.8557845963558,475.0861874316159,28.430994139779493,17.747836352167376,38.72484579408899
2,33,597.0546296296294,461.29907407407387,25.615173195477023,9.756928456549689,-5.01855259773258
2,34,499.52241819918265,536.3067051681757,33.609191752799326,26.78451989970344,38.164232703827594
2,35,380.7168265898926,532.8518855794426,43.97434548151036,24.769822275611247,-84.75962358973246
2,36,264.8155802329713,522.7664732208209,51.30684576707672,20.25291252173677,-53.77203598171152
2,38,310.3013342509132,636.1066691969914,34.36824359373429,27.127253845353955,-78.62153460484937
2,40,463.8085029970829,633.1290651646757,36.73368353569428,18.79626377838008,9.755436540849573
2,41,244.52186040018495,695.9775618669477,28.008158317110873,23.293696004022323,69.50367750540529
