image_number,object_number,path_name_tif,file_name_tif,center_x,center_y,bounding_box_min_x,bounding_box_max_x,bounding_box_min_y,bounding_box_max_y,bounding_box_area,orientation,major_axis_length,minor_axis_length,area,convex_area,perimeter,eccentricity,form_factor,compactness
8,1,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,519.327838,90.82257811,472,568,47,131,8064,-86.97897249,97.9462328,83.3000093,6369,6504,300.5929291,0.526028891,0.8857753540000001,1.128954419
8,2,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,659.7995722999999,99.60148691,602,715,43,156,12769,-49.26696159,117.2460104,107.05707690000001,9819,9937,371.2619767,0.40774056,0.895191972,1.117078829
8,3,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,828.7018663,102.7610464,785,878,55,149,8742,38.35098202,91.53544818,87.97417574,6269,6483,306.14927830000005,0.276221294,0.840507618,1.189757212
8,4,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,274.4116078,116.98384309999999,229,321,71,167,8832,47.18608065,93.87402522,87.33713271,6375,6568,306.77669530000003,0.366633968,0.8512268690000001,1.174774947
8,5,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,313.08157830000005,195.7421974,262,366,143,247,10816,-66.18106745,103.96706309999999,96.9921775,7882,8153,344.67619019999995,0.360103017,0.833726732,1.199433773
8,6,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,1192.446637,234.82389139999998,1151,1234,194,276,6806,47.97825568,80.292636,75.22971679,4713,4834,261.56349190000003,0.349479087,0.865671362,1.155172787
8,7,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,685.1529792,250.68419869999997,608,766,194,308,18012,-79.53021591,164.8150888,104.5886819,13309,13890,461.6883835,0.772855573,0.784616423,1.274508117
8,8,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,963.6453629,291.7286644,910,1016,243,338,10070,-74.51953611,106.3294696,94.10486546,7839,7991,338.6345597,0.465532295,0.8590292890000001,1.1641046609999999
8,9,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,250.55549649999998,313.7356383,212,288,269,362,7068,-3.219993362,94.83901711,76.12083824,5640,5741,284.2081528,0.596474419,0.87743692,1.139683067
8,10,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,509.54197360000006,311.1142472,449,569,260,364,12480,84.31867462,122.0089159,100.890857,9637,9823,371.94826820000003,0.562328691,0.875359887,1.14238728
8,11,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,1169.5418550000002,405.7481765,1126,1217,363,449,7826,-70.66207562,88.89400098,82.65114624,5758,5866,287.9066376,0.368136077,0.872927488,1.145570524
8,12,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,123.2468293,429.33593499999995,78,170,387,474,8004,-75.39257443,91.64731573,85.50036075,6150,6246,293.6639969,0.36006258700000005,0.896155901,1.11587727
8,13,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,797.3130787,466.222608,752,839,427,508,7047,-71.70748127,83.67706089,79.71741014,5184,5423,279.9066376,0.303976984,0.8314735959999999,1.202684012
8,14,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,405.1852925,496.79623260000005,362,448,453,541,7568,25.99217436,88.02834958,80.47331873,5521,5669,281.9066376,0.405319655,0.873005556,1.145468082
8,15,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,726.6015292000001,491.7598034,682,779,418,559,13677,23.22219261,148.46284269999998,79.94723653,9155,9588,401.0609665,0.842625528,0.7152327959999999,1.3981461769999999
8,16,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,1053.5771539999998,545.1754057,999,1105,495,598,10918,-60.96542576,103.0899495,99.69880553,8010,8193,341.8477631,0.254377515,0.86134452,1.160975633
8,17,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,632.0559744,619.2120241,587,680,583,659,7068,80.15003537,93.97885725,72.725796,5306,5544,285.764502,0.633365566,0.816508201,1.224727441
8,18,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,sSP79_24_B6_CRE_001.tif,333.72184489999995,650.4384312000001,275,390,598,707,12535,-54.79770734,112.19413390000001,103.9918583,9128,9304,361.13203439999995,0.37532786100000004,0.879535689,1.136963528
