ImageNumber,ObjectNumber,FileName_TIF,PathName_TIF,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,23,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4532,6237,533,525,452,448,489.5372904,485.7206531,1.171062749,4684,0.340278317,75.96263303,1,0.726631393,0.853925207,78.61005072,81.3019065,35.77708764,12.44628004,11,72.7801686,73.91897759,43.90516319,258.2497834,0.967549103,489.5372904,485.7206531,0,23
1,24,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4088,6545,593,552,508,475,551.8187378,511.5809687,1.465936173,4389,0.774028697,72.14570853,1,0.62459893,0.68215794,92.66281407,95.13148795,29.96664813,10.52009291,9.055385138,60.26965268,58.66950861,-53.7736863,274.4213562,0.931419458,551.8187378,511.5809687,0,24
1,25,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5609,7650,656,650,566,565,612.2779462,608.3478338,1.162505535,5697,0.673206948,84.50799138,1,0.733202614,0.860210958,98.63833873,98.23441352,36.35931793,13.52796207,12.04159458,72.62376495,72.9385266,-52.21817366,286.2497834,0.984553274,612.2779462,608.3478338,0,25
1,26,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4031,5037,543,674,474,601,508.9600595,636.4765567,1.100130698,4102,0.334307997,71.64097016,1,0.800277943,0.908982907,73.87155227,73.57309291,33.73425559,12.02318385,10.63014581,68,69.6212697,-1.265733046,236.0660172,0.98269137,508.9600595,636.4765567,0,26
1,27,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,6840,8832,1081,685,989,589,1033.206725,635.9552632,1.172519921,7019,0.267036069,93.3218007,1,0.774456522,0.852863974,95.22587792,96.46242792,42.54409477,15.14695716,13.41640786,90.94456568,91.76789633,2.638808382,317.4629868,0.974497792,1033.206725,635.9552632,0,27
1,28,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,3872,5106,722,691,648,622,685.8143079,655.1637397,1.15572296,3982,0.514126997,70.21384135,1,0.758323541,0.865259266,76.44239999,78.72102642,32.28002478,11.33502122,10,66.06169424,65.56572223,-55.78589992,237.137085,0.972375691,685.8143079,655.1637397,0,28
1,29,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,17344,28220,519,780,353,610,435.568554,700.5044396,1.579557834,19192,0.371499762,148.6037236,1,0.614599575,0.633088563,160.0129992,170.6956356,51.66236541,19.06674111,17.69180601,139.8491624,148.5613568,27.02622343,586.7422074,0.903709879,435.568554,700.5044396,0,29
1,30,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5504,8448,596,803,530,675,564.0288881,729.253452,1.774491475,6270,0.889515387,83.71326331,1,0.651515152,0.563541732,129.4826982,128.0039062,31.11269837,10.38676733,9.219544457,63.54433376,59.16132011,5.209738463,350.3330445,0.877830941,564.0288881,729.253452,0,30
1,31,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,5436,8722,124,763,26,674,73.62362031,717.2203826,1.758593093,6270,0.211963299,83.19453206,1,0.623251548,0.568636374,85.84012669,101.8331969,34.53983208,11.8709397,10.29563014,83.1132052,83.8896353,44.17514941,346.5990258,0.866985646,73.62362031,717.2203826,0,31
1,32,sSP67_18_B6_CRE_001.tif,/Users/sarahpyfrom/Dropbox/Mac/Desktop/Sarah_Satb1_Microscope_ImagesCP/2022_12_16/Good_Handmade_Tifs,4309,5698,688,765,611,691,647.9566025,727.9034579,1.111053974,4405,0.34286669,74.07016402,1,0.756230256,0.900046284,76.52569232,78.74642849,35.22782991,12.38546104,11,71.4,71.88701638,52.03432204,245.2792206,0.978206583,647.9566025,727.9034579,0,32
