ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Nuclei_with_XISTpuncta_Count,Children_XIST_CLOUD_Count,Intensity_IntegratedIntensityEdge_Masked_XIST,Intensity_IntegratedIntensity_Masked_XIST,Intensity_LowerQuartileIntensity_Masked_XIST,Intensity_MADIntensity_Masked_XIST,Intensity_MassDisplacement_Masked_XIST,Intensity_MaxIntensityEdge_Masked_XIST,Intensity_MaxIntensity_Masked_XIST,Intensity_MeanIntensityEdge_Masked_XIST,Intensity_MeanIntensity_Masked_XIST,Intensity_MedianIntensity_Masked_XIST,Intensity_MinIntensityEdge_Masked_XIST,Intensity_MinIntensity_Masked_XIST,Intensity_StdIntensityEdge_Masked_XIST,Intensity_StdIntensity_Masked_XIST,Intensity_UpperQuartileIntensity_Masked_XIST,Location_CenterMassIntensity_X_Masked_XIST,Location_CenterMassIntensity_Y_Masked_XIST,Location_CenterMassIntensity_Z_Masked_XIST,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Masked_XIST,Location_MaxIntensity_Y_Masked_XIST,Location_MaxIntensity_Z_Masked_XIST,Number_Object_Number,Parent_Nuclei_X
1,25,4,4,426,456,424,454,424.5,454.5,0.318309886,4,0,2.256758334,1,1,3.141592654,2,1.414213562,1,1,1,1,2,45,4,1,1,1,0.025284199,0.025284199,0.006286718,0.000320438,0.029777088,0.006744487,0.006744487,0.00632105,0.00632105,0.006607156,0.005645838,0.005645838,0.000423747,0.000423747,0.006744487,424.4900422,454.4719373,0,424.5,454.5,0,425,454,0,25,11
1,26,46,63,860,464,853,455,855.673913,458.9130435,1.175844637,53,0.662878715,7.653039857,1,0.73015873,0.85045249,9.053555593,9.219544457,3,1.555429923,1,6,6.778639636,28.78054871,26.07106781,0.867924528,1,1,0.150286107,0.371847106,0.006172274,0.001876861,0.217321473,0.010193027,0.016235601,0.006261921,0.008083633,0.007232777,0.004913406,0.004913406,0.001139659,0.002718615,0.010017548,855.4896795,458.7977759,0,855.673913,458.9130435,0,855,459,0,26,10
1,27,16,20,853,468,849,463,850.5,465,0.675822873,16,0.577350269,4.513516668,1,0.8,1.47967765,4.898979486,4.123105626,2,1.228553391,1,3,4,0,11.65685425,1,1,0,0.06567483,0.115236133,0.005844205,0.001571679,0.100695654,0.00935378,0.009964141,0.006567483,0.007202258,0.007782101,0.005035478,0.005035478,0.001342624,0.001443047,0.008224613,850.6005031,465.0062235,0,850.5,465,0,851,465,0,27,10
1,28,31,40,857,470,852,462,854.2903226,465.8064516,1.139728824,36,0.810432348,6.282549314,1,0.775,0.877401694,8.436448223,7.615773106,2.236067977,1.356919197,1,4,4.942343331,6.211282587,21.07106781,0.861111111,1,1,0.12106508,0.221194781,0.005882354,0.001289387,0.057742293,0.008834974,0.010040437,0.006371846,0.007135316,0.007209888,0.004882887,0.004882887,0.001136947,0.001436068,0.008331425,854.2551049,465.7606926,0,854.2903226,465.8064516,0,854,466,0,28,10
1,29,6,6,859,468,857,465,857.5,466,0.477464829,6,0.790569415,2.763953196,1,1,2.094395102,3.265986324,2.236067977,1,1,1,1,2,0,6,1,1,0,0.034500648,0.034500648,0.005119401,0.000366217,0.030247857,0.007782101,0.007782101,0.005750108,0.005750108,0.005279622,0.004913406,0.004913406,0.001012721,0.001012721,0.007034409,857.529854,465.9951349,0,857.5,466,0,858,466,0,29,10
1,30,4,4,878,472,876,470,876.5,470.5,0.318309886,4,0,2.256758334,1,1,3.141592654,2,1.414213562,1,1,1,1,2,45,4,1,1,1,0.029846645,0.029846645,0.006225681,0.002868695,0.114238338,0.00920119,0.00920119,0.007461661,0.007461661,0.009094376,0.005325398,0.005325398,0.001716317,0.001716317,0.00920119,876.4831288,470.3870143,0,876.5,470.5,0,876,470,0,30,10
1,31,1,1,439,496,438,495,438,495,0,1,0,1.128379167,1,1,inf,0,0,1,1,1,0,0,45,0,1,1,1,0.006073091,0.006073091,0.006073091,0,0,0.006073091,0.006073091,0.006073091,0.006073091,0.006073091,0.006073091,0.006073091,0,0,0.006073091,438,495,0,438,495,0,438,495,0,31,11
1,32,2,2,278,527,276,526,276.5,526,0,2,1,1.595769122,1,1,inf,2,1,1,1,1,0,0,90,0,1,1,1,0.010543984,0.010543984,0.005271992,0.000289922,0.013748202,0.005416953,0.005416953,0.005271992,0.005271992,0.005416953,0.005127031,0.005127031,0.000144961,0.000144961,0.005416953,276.5137482,526,0,276.5,526,0,277,526,0,32,12
1,33,4,4,302,551,300,549,300.5,549.5,0.318309886,4,0,2.256758334,1,1,3.141592654,2,1.414213562,1,1,1,1,2,45,4,1,1,1,0.02302586,0.02302586,0.005508506,0.000488289,0.041419485,0.006469824,0.006469824,0.005756465,0.005756465,0.005996794,0.005050736,0.005050736,0.000530608,0.000530608,0.006469824,300.5414182,549.5003314,0,300.5,549.5,0,301,550,0,33,12
1,34,5,6,1083,558,1080,556,1081.2,556.4,0.431532092,5,0.816496581,2.523132522,1,0.833333333,2.317324754,3.098386677,2.236067977,1,1,1,1,1.788854382,71.56505118,5.207106781,1,1,0,0.02905318,0.02905318,0.005195698,0.000976578,0.090203175,0.007110704,0.007110704,0.005810636,0.005810636,0.005973908,0.004959183,0.004959183,0.00080578,0.00080578,0.006900893,1081.266807,556.4606092,0,1081.2,556.4,0,1082,557,0,34,13
